"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Botswana","BWA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","141986351.092303","169740042.630212","191576873.070614","223387594.650999","442204972.281051","544501271.246423","401320206.119381","460637119.553637","640334997.307122","677694140.577726","727648615.124434","852462535.103743","1586595517.31275","1468948026.82398","1819656448.69044","1795356808.03957","1871132312.22803","1743923971.13368","1722150573.13538","1874325679.12598","2160192482.04198","2217532155.6386","2819829460.32291","2060630921.8435","2658167681.49306","2675138476.7153","2314435139.8776","2345620839.28701","3024070307.76483","3691882256.86184","4438400213.02585","4525608573.48678","5162540114.46597","4798259404.62459","3335517335.05206","4693348193.41368","6419398067.92662","5791620633.92633","7906299960.72903","8496040089.2","6271625272.56429","7372657698.2746","5963590764.09343","6594497839.94667","5259963075.73633","4292591143.33248","7413795100.91181",
"Central African Republic","CAF","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","104501924.268951","110287408.331419","122239559.073392","147198340.790504","117693405.381833","124404206.141041","123398559.710425","114432400.086691","131047971.648162","129486675.045792","128896130.608731","133662038.194502","148093325.7092","150537277.728568","125622588.080665","115855496.517237","132453942.417902","145892137.861584","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","5793020936.27757","6185996486.16523","6356009352.73659","6928813888.64109","8115105073.24195","8578330842.35951","10031247973.5366","10936088117.1245","13131160390.4986","14372349202.7814","16742605365.0233","18174887930.3875","21158684706.3883","26499925874.9547","34277367067.6353","33780119811.0442","39695893066.3801","42883528289.7683","47942856261.2273","57299865662.2545","67531310802.6477","71859350595.0421","70174662832.9249","75306067296.9784","89158157415.2968","89801761688.5693","89951366696.239","98987111033.1528","116465317557.794","123871000960.883","130075211364.696","128583092360.806","134790949525.386","146957364481.632","166570431579.776","192930925885.201","204868220739.759","218461779155.957","219948407476.112","247714131434.279","288048191646.866","270783696904.89","262513104538.953","283881204985.993","328561164731.484","370564797070.01","398505186169.462","430510292427.956","460228612614.91","323035491535.324","392358819093.85","461444583689.744","462921555285.582","466456953334.247","480470343578.07","411129878290.903","394137180748.392","424110971708.691","452322709541.459","448841722243.655","390330510303.191","507505550178.221",
"Central Europe and the Baltics","CEB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60582596686.4693","68125122958.4555","91215033224.1063","95806324690.3705","101721806947.706","112111172267.62","108596959611.86","125165566679.587","140015706109.039","154517870635.678","199507001329.319","285778699088.515","331651702738.274","405439990448.076","517834401142.158","615928309531.651","479204689038.212","556507027697.648","674297740256.819","650542634539.618","693304639873.997","724826681168.202","638937766864.785","656044793914.649","742852813074.887","825857553415.442","816660121557.222","802847326791.737","984054225789.687",
"Switzerland","CHE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","20991711867.3149","28836529348.7007","33827284322.4462","41707595440.7896","40103605169.8981","36072914085.7517","34166822168.4194","36896461233.1229","37303352495.2943","48799925885.8387","55603851505.7866","63164081186.3596","66397237037.1502","78756537231.7772","74952109205.6554","80427837782.4214","75920908670.494","83272884804.1501","98016170964.2884","96394123024.8946","96016330046.079","94503684862.3679","92694323021.1075","95116039172.5198","96704749859.546","102132645779.397","117650258534.457","143927541941.515","154777280830.26","174180905590.358","209668973522.372","256899263818.046","222501644503.128","285311228402.895","355102763308.997","339106205739.317","379154950835.076","337823160246.929","312070394627.132","326948311710.865","328689246956.016","345951379878.852","342872327866.331","353460786839.665","432695323099.518",
"Channel Islands","CHI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","1590000000","2116000000","2186000000","2460000000","3835000000","4705000000","3836000000","3706000000","3831000000","3650000000","3804100000","4191200000","5303000000","7054100000","8078400000","8372700000","8941500000","10007400000","9198700000","11604100000","16025000000","16626465803.55","17869877663.39","16322526210.32","17161948433.72","19209887166.01","18271390806.64","18178137790.176","21650906897.8466","33025407003.93","41973992484.9","59380159233.432","68561364483.7296","64510142785.1327","55462671481.2967","71108528875.7787","81437843854.5763","78283505945.4854","77069617459.1688","75324399113.0764","62120249897.7929","60769494234.7113","68904187418.2797","74838121947.413","68792346366.3908","74085745638.346","94676562596.0736",
"China","CHN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","21125000000","20707000000","23905000000","25108000000","25756000000","34734000000","41054000000","43220000000","51519000000","58919000000","69568000000","75659000000","102561000000","128109690000","151077000000","82983000000","78985000000","83794000000","111331687000","118463000000","145460205585.428","388297641441.493","525615268320.748","694870272887.864","897660405046.06","1122737097486.82","1334555205546.61","1119090663054.52","1478072761421.33","1807805443488.65","1973516412824.49","2148588935109.43","2243761278997.21","2142753416452.3","1989518638921.98","2216213798034.65","2417442805605.76","2386640081644.25","2510014622024.19","3215855324371.98",
"Cote d'Ivoire","CIV","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7592014244.94057","8369453548.2966","8559332232.39308","10292930966.9804","11212909112.7035","11421347029.1804","12651630158.5433","12122759836.2616","12052756795.3893","12984780627.3135","11735247561.1794","10882922075.1041","11882442225.8025","11917663544.6429","12628493496.5634","12499992627.5662","",
"Cameroon","CMR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","809061598.774614","1095827955.64726","1354117024.61603","1657472249.56356","1410583855.50348","1357886517.17695","1366692254.79423","1588944749.8138","1626330369.16738","2076949866.0505","1688646452.68034","1841206243.14548","1853807568.48436","2125357466.70602","1957449402.18471","1934060664.32105","1507720408.37399","1454166375.60406","1735916523.09712","2002277654.03118","2036426881.89631","1878073849.02365","1738499321.18691","1979110409.14417","1876726282.24898","1971419814.07377","2489016048.10836","2713046684.27355","3266523818.31354","3852066024.5251","4962602734.21857","5865264029.11605","4080607775.38641","4317471246.33679","5660319955.16292","5756784861.19386","6081523885.77037","6571041691.30883","5219111885.85913","4590922014.49806","4603426012.22501","5184326571.14549","5525592952.28896","4415761476.81647","6005715845.54316",
"Congo, Dem. Rep.","COD","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2402800000","2704700000","6147900000","6869800000","4371000000","8477900000","9471900000","8743370359.07694","11612971601.234","12321200000","10284773559.9695","11885542238.505","11548162610.2709","15966849816.9222","15031295906.3072","13788701762.6233","22185255468.9128",
"Congo, Rep.","COG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","308190533.708704","495671234.422893","910608693.88127","1072702468.79505","1108505991.61809","1066172163.33009","1268375203.75278","1144746045.603","672645189.149499","876688672.734696","843194567.338673","1160471375.17824","1388721629.56062","1107736075.3748","1178729371.72693","1119145052.85109","958925607.376637","1286599269.22613","1654850900.71613","1661504005.40947","1367794851.69241","1560658964.45809","2497989402.22498","2057075020.66735","2299611624.90296","2642536301.83255","3439349883.63814","4747198294.63055","6071103423.83454","5713176682.79788","8129317630.44777","5779181389.97023","8539145100.46647","10931632940.3419","9971577309.98611","8925740751.96885","8878638826.7027","4680230464.72499","4358647529.39492","","","7589302641.47659","4435821892.80186","",
